         y,     x_in,    y_in,          x_corr,           y_corr
15860, 10000, 15860, 10838.4, 16251.8
15870, 10000, 15870, 10838.1, 16261.6
15880, 10000, 15880, 10837.7, 16271.4
15890, 10000, 15890, 10837.4, 16281.1
15900, 10000, 15900, 10837, 16290.9
15910, 10000, 15910, 10836.7, 16300.7
15920, 10000, 15920, 10836.3, 16310.4
15930, 10000, 15930, 10836, 16320.2
15940, 10000, 15940, 10835.6, 16330
15950, 10000, 15950, 10835.3, 16339.7
15960, 10000, 15960, 10834.9, 16349.5
15970, 10000, 15970, 10834.6, 16359.3
15980, 10000, 15980, 10834.2, 16369
15990, 10000, 15990, 10833.9, 16378.8
16000, 10000, 16000, 10833.5, 16388.6
16010, 10000, 16010, 10833.2, 16398.4
16020, 10000, 16020, 10832.8, 16408.1
16030, 10000, 16030, 10832.5, 16417.9
16040, 10000, 16040, 10832.1, 16427.7
16050, 10000, 16050, 10831.8, 16437.4
16060, 10000, 16060, 10831.4, 16447.2
16070, 10000, 16070, 10831.1, 16457
16080, 10000, 16080, 10830.7, 16466.7
16090, 10000, 16090, 10830.4, 16476.5
16100, 10000, 16100, 10830, 16486.3
16110, 10000, 16110, 10829.7, 16496
16120, 10000, 16120, 10829.3, 16505.8
16130, 10000, 16130, 10829, 16515.6
